case_id,category,mode,strategy,predicted_cause,expected_cause,is_correct,confidence,latency_ms,knowledge_used,tokens_used
case_001,OOM,DIRECT,ZERO_SHOT,系统物理内存耗尽，导致内核OOM Killer强制终止了vector进程（haproxy的子进程），以释放内存资源。根本原因是haproxy或相关服务内存泄漏，或系统内存配置不足，无法满足当前负载需求。,B2ts_v2 VM内存耗尽，触发OOM Killer终止了日志转发进程(vector)。,false,0.9000,5930,0,705
case_001,OOM,DIRECT,FEW_SHOT,系统物理内存耗尽，触发OOM Killer机制,B2ts_v2 VM内存耗尽，触发OOM Killer终止了日志转发进程(vector)。,false,0.9500,2318,0,477
case_001,OOM,DIRECT,COT,系统物理内存耗尽，导致OOM Killer强制终止vector进程以释放内存,B2ts_v2 VM内存耗尽，触发OOM Killer终止了日志转发进程(vector)。,false,0.9000,5636,0,675
case_002,OOM,DIRECT,ZERO_SHOT,Trello工作进程内存泄漏或内存配置不足，导致进程内存使用超过限制，触发内核OOM Killer终止进程，同时由于内存耗尽导致CPU阈值无法满足，自动扩缩容失败。,Trello服务在业务高峰期因内存超限(OOM)崩溃，且基于CPU利用率的自动扩展策略未能触发。,false,0.9000,5584,0,625
case_002,OOM,DIRECT,FEW_SHOT,工作进程内存使用超过限制，被内核OOM Killer终止,Trello服务在业务高峰期因内存超限(OOM)崩溃，且基于CPU利用率的自动扩展策略未能触发。,false,0.9500,2768,0,478
case_002,OOM,DIRECT,COT,Trello工作进程因内存泄漏或内存配置不足导致OOM（内存溢出），进而触发系统OOM Killer终止进程，同时由于CPU使用率未达到自动扩缩容阈值，系统未能通过扩容缓解内存压力。,Trello服务在业务高峰期因内存超限(OOM)崩溃，且基于CPU利用率的自动扩展策略未能触发。,false,0.9000,6730,0,764
case_003,网络,DIRECT,ZERO_SHOT,DNS客户端解析失败导致系统核心转储并重启，根本原因是DNS服务器配置错误或网络连接问题，使得无法解析域名'www.cisco.com'，触发致命错误。,Cisco交换机DNS客户端因解析特定域名失败触发致命错误，导致设备核心转储并反复重启。,true,0.9000,5461,0,626
case_003,网络,DIRECT,FEW_SHOT,DNS客户端解析失败导致系统核心转储并重启,Cisco交换机DNS客户端因解析特定域名失败触发致命错误，导致设备核心转储并反复重启。,false,0.9200,2147,0,463
case_003,网络,DIRECT,COT,DNS客户端在解析'www.cisco.com'时失败，触发了致命错误，导致系统生成核心转储并重启。,Cisco交换机DNS客户端因解析特定域名失败触发致命错误，导致设备核心转储并反复重启。,true,0.8500,5266,0,684
case_004,网络,DIRECT,ZERO_SHOT,InfluxDB Cloud 认证服务不可用，导致微服务因缺少服务账户令牌而无法完成认证，进而引发写入/查询 API 完全失败。,Kubernetes 1.29+ 升级后 ServiceAccount token 未自动生成，导致微服务间认证失败，写入/查询API不可用。,false,0.9000,4124,0,517
case_004,网络,DIRECT,FEW_SHOT,InfluxDB Cloud认证服务不可用，导致服务账户令牌缺失，进而引发API完全失败,Kubernetes 1.29+ 升级后 ServiceAccount token 未自动生成，导致微服务间认证失败，写入/查询API不可用。,false,0.9200,2771,0,468
case_004,网络,DIRECT,COT,InfluxDB Cloud 认证服务不可用，导致微服务因缺少服务账户令牌而认证失败，进而引发写入/查询 API 100% 故障。,Kubernetes 1.29+ 升级后 ServiceAccount token 未自动生成，导致微服务间认证失败，写入/查询API不可用。,false,0.9000,6002,0,709
case_005,代码缺陷,DIRECT,ZERO_SHOT,RAID5阵列中两块物理磁盘同时离线，导致阵列失效，进而引发Oracle数据库无法访问数据文件1（系统表空间文件），数据库实例崩溃。,RAID5阵列中两块硬盘先后离线，因热备盘未正确配置激活，导致阵列崩溃，Oracle数据库文件损坏。,false,0.9500,7197,0,695
case_005,代码缺陷,DIRECT,FEW_SHOT,RAID5阵列中两块物理磁盘同时离线导致阵列失效，进而引发Oracle数据库数据文件无法访问,RAID5阵列中两块硬盘先后离线，因热备盘未正确配置激活，导致阵列崩溃，Oracle数据库文件损坏。,false,0.9500,3359,0,538
case_005,代码缺陷,DIRECT,COT,RAID5阵列中两块物理磁盘（Disk 2和Disk 3）同时离线，导致RAID5阵列失效，进而引发Oracle数据库无法访问数据文件1（系统表空间文件）。,RAID5阵列中两块硬盘先后离线，因热备盘未正确配置激活，导致阵列崩溃，Oracle数据库文件损坏。,false,0.9500,7116,0,828
case_006,代码缺陷,DIRECT,ZERO_SHOT,LVM卷管理器锁文件竞争导致OVN数据库写入失败，进而引发磁盘空间耗尽和数据库损坏,"TwistLock Defender 重启干扰 LVM 锁文件操作，导致 VG-Manager 陷入死循环，以每秒 26,000 行的速率刷爆磁盘。",false,0.8500,7294,0,735
case_006,代码缺陷,DIRECT,FEW_SHOT,锁文件竞争导致进程阻塞，进而引发磁盘空间耗尽和OVN数据库损坏,"TwistLock Defender 重启干扰 LVM 锁文件操作，导致 VG-Manager 陷入死循环，以每秒 26,000 行的速率刷爆磁盘。",false,0.9200,3081,0,505
case_006,代码缺陷,DIRECT,COT,vgmanager.lock文件被长时间占用，导致节点磁盘空间耗尽，进而引发OVN数据库损坏,"TwistLock Defender 重启干扰 LVM 锁文件操作，导致 VG-Manager 陷入死循环，以每秒 26,000 行的速率刷爆磁盘。",false,0.8500,6970,0,788
case_007,连接池,DIRECT,ZERO_SHOT,Apex One日志发送配置文件损坏，导致日志无法正常发送至Trend Vision One的数据摄取管道，进而引发管道连接拒绝错误，最终造成Apex One控制台显示空白页面。,Apex One 日志发送配置文件损坏，导致数据上报连接被拒绝，Vision One 控制台页面空白。,true,0.9000,5546,0,652
case_007,连接池,DIRECT,FEW_SHOT,日志发送配置文件损坏导致数据管道连接被拒绝,Apex One 日志发送配置文件损坏，导致数据上报连接被拒绝，Vision One 控制台页面空白。,false,0.8500,2278,0,488
case_007,连接池,DIRECT,COT,Apex One日志发送配置文件损坏，导致日志发送失败，进而引发Trend Vision One数据摄取管道连接被拒，最终Apex One控制台显示空白页。,Apex One 日志发送配置文件损坏，导致数据上报连接被拒绝，Vision One 控制台页面空白。,true,0.8500,4812,0,645
case_008,连接池,DIRECT,ZERO_SHOT,etcd集群性能瓶颈或网络延迟导致kube-apiserver无法正常访问etcd，进而引发API服务不可用和错误预算燃烧。,AKS 集群自动升级后，残留的孤立 node leases 导致 etcd 查询延迟飙升，API Server 就绪探针超时并返回 500。,true,0.9000,5091,0,640
case_008,连接池,DIRECT,FEW_SHOT,etcd集群响应超时导致kube-apiserver健康检查失败,AKS 集群自动升级后，残留的孤立 node leases 导致 etcd 查询延迟飙升，API Server 就绪探针超时并返回 500。,true,0.9200,2677,0,471
case_008,连接池,DIRECT,COT,etcd集群不可用或响应超时，导致kube-apiserver无法正常访问etcd存储，进而引发API服务故障和错误预算燃烧告警。,AKS 集群自动升级后，残留的孤立 node leases 导致 etcd 查询延迟飙升，API Server 就绪探针超时并返回 500。,true,0.9000,6639,0,803
case_009,磁盘,DIRECT,ZERO_SHOT,解析失败,安装 2026 年 1 月累积更新 KB5073722 后，TiWorker.exe 内存泄漏导致 NTFS 索引损坏，系统陷入 CHKDSK 无限修复循环。,false,0.0000,5356,0,680
case_009,磁盘,DIRECT,FEW_SHOT,NTFS文件系统元数据损坏，导致磁盘检查循环重启,安装 2026 年 1 月累积更新 KB5073722 后，TiWorker.exe 内存泄漏导致 NTFS 索引损坏，系统陷入 CHKDSK 无限修复循环。,true,0.9200,3185,0,539
case_009,磁盘,DIRECT,COT,NTFS文件系统元数据损坏，具体为$I30索引分配属性在系统关键目录中发生损坏，导致磁盘一致性错误（Event ID 55），系统自动触发CHKDSK修复循环。,安装 2026 年 1 月累积更新 KB5073722 后，TiWorker.exe 内存泄漏导致 NTFS 索引损坏，系统陷入 CHKDSK 无限修复循环。,true,0.9000,6570,0,788
case_010,磁盘,DIRECT,ZERO_SHOT,SDP1服务器缓存模块硬件故障，导致写穿透（write-through）失败，进而触发紧急维护停机。,A-SMGCS 系统 SDP1 服务器缓存模块异常，导致数据写入失败，健康指示灯告警。,true,0.9000,4522,0,551
case_010,磁盘,DIRECT,FEW_SHOT,SDP1服务器缓存模块硬件故障导致写穿透失败,A-SMGCS 系统 SDP1 服务器缓存模块异常，导致数据写入失败，健康指示灯告警。,true,0.9200,2448,0,487
case_010,磁盘,DIRECT,COT,SDP1服务器的缓存模块硬件故障，导致写穿透失败，进而触发紧急维护停机。,A-SMGCS 系统 SDP1 服务器缓存模块异常，导致数据写入失败，健康指示灯告警。,true,0.9000,4800,0,649
case_011,HTTP,DIRECT,ZERO_SHOT,后端服务因内存压力导致不可用，进而触发Auto Scaling失败，最终表现为502 Bad Gateway错误。,Trello 后端服务因内存耗尽而崩溃，导致网关返回 502 错误，且自动扩展策略因仅基于 CPU 未能触发。,true,0.8500,4942,0,597
case_011,HTTP,DIRECT,FEW_SHOT,后端服务因内存压力导致自动扩展失败，进而引发上游服务器不可用和502错误,Trello 后端服务因内存耗尽而崩溃，导致网关返回 502 错误，且自动扩展策略因仅基于 CPU 未能触发。,false,0.9200,2793,0,506
case_011,HTTP,DIRECT,COT,后端服务因内存压力导致崩溃，进而引发上游服务器无法连接和502错误，最终触发Auto Scaling失败。,Trello 后端服务因内存耗尽而崩溃，导致网关返回 502 错误，且自动扩展策略因仅基于 CPU 未能触发。,true,0.9000,4849,0,660
case_012,HTTP,DIRECT,ZERO_SHOT,AKS集群中4/6的API Server实例的/readyz健康检查端点返回500错误，导致Prometheus监控到KubeAPI错误预算燃烧（5 req/s失败），但集群资源健康状态仍显示为'Available'，表明问题可能为API Server实例的部分功能异常或负载不均，而非完全宕机。,AKS 集群升级后，多个 API Server 实例的 /readyz 探针因内部组件异常返回 500，但负载均衡器掩盖了故障。,true,0.8500,4990,0,604
case_012,HTTP,DIRECT,FEW_SHOT,AKS集群中部分API Server实例健康检查失败，导致Prometheus监控到Kubernetes API错误率上升,AKS 集群升级后，多个 API Server 实例的 /readyz 探针因内部组件异常返回 500，但负载均衡器掩盖了故障。,true,0.8500,3058,0,542
case_012,HTTP,DIRECT,COT,AKS API服务器实例中部分实例（4/6）的/readyz端点返回500错误，导致Prometheus监控到KubeAPI错误预算燃烧，但整体资源健康状态仍显示为'Available'，表明问题可能为API服务器实例的局部健康检查失败或配置错误，而非集群级故障。,AKS 集群升级后，多个 API Server 实例的 /readyz 探针因内部组件异常返回 500，但负载均衡器掩盖了故障。,true,0.8500,6917,0,788
case_013,权限,DIRECT,ZERO_SHOT,RAID控制器因权限不足无法激活热备盘，导致数据文件无法正常挂载，进而引发Oracle数据库挂载失败。,RAID 控制器热备盘因配置权限不足未能自动激活，导致阵列降级后崩溃，Oracle 数据文件访问被拒绝。,true,0.8500,5744,0,622
case_013,权限,DIRECT,FEW_SHOT,RAID控制器权限不足导致热备盘激活失败，进而引发Oracle数据库数据文件权限问题,RAID 控制器热备盘因配置权限不足未能自动激活，导致阵列降级后崩溃，Oracle 数据文件访问被拒绝。,true,0.8500,2784,0,502
case_013,权限,DIRECT,COT,RAID控制器因权限不足无法激活热备盘，导致数据文件无法访问，进而引发Oracle数据库挂载失败。,RAID 控制器热备盘因配置权限不足未能自动激活，导致阵列降级后崩溃，Oracle 数据文件访问被拒绝。,true,0.8500,7177,0,801
case_014,权限,DIRECT,ZERO_SHOT,Kubernetes 默认命名空间中缺少服务账户令牌，导致 InfluxDB 无法验证服务账户身份，进而引发写入 API 授权失败。,Kubernetes 升级后未自动生成 ServiceAccount token，导致 InfluxDB 微服务认证失败，权限被拒绝。,true,0.9500,4734,0,687
case_014,权限,DIRECT,FEW_SHOT,InfluxDB服务账户认证失败，Kubernetes中缺少默认命名空间的服务账户令牌,Kubernetes 升级后未自动生成 ServiceAccount token，导致 InfluxDB 微服务认证失败，权限被拒绝。,true,0.8500,3241,0,560
case_014,权限,DIRECT,COT,Kubernetes 默认命名空间的服务账户令牌缺失或无效，导致 InfluxDB 无法通过服务账户认证，进而引发写入 API 授权失败。,Kubernetes 升级后未自动生成 ServiceAccount token，导致 InfluxDB 微服务认证失败，权限被拒绝。,true,0.9000,5312,0,703
case_015,数据库,DIRECT,ZERO_SHOT,Oracle数据库无法识别或锁定系统表空间数据文件system01.dbf，导致数据库实例异常终止，需要恢复操作。,RAID5 阵列崩溃导致 Oracle 系统表空间文件 (system01.dbf) 损坏，数据库无法启动。,true,0.9500,4702,0,624
case_015,数据库,DIRECT,FEW_SHOT,Oracle数据库系统表空间文件system01.dbf无法识别或锁定,RAID5 阵列崩溃导致 Oracle 系统表空间文件 (system01.dbf) 损坏，数据库无法启动。,true,0.9500,1929,0,434
case_015,数据库,DIRECT,COT,Oracle数据库系统表空间数据文件'/data/orcl/system01.dbf'无法被识别或锁定，导致数据库实例终止，需要恢复。,RAID5 阵列崩溃导致 Oracle 系统表空间文件 (system01.dbf) 损坏，数据库无法启动。,true,0.9000,5313,0,702
case_016,数据库,DIRECT,ZERO_SHOT,OVN南向数据库（OVN_Southbound DB）文件损坏，导致OpenShift集群网络功能降级。,节点磁盘被 VG-Manager 日志写满，导致 OVN 数据库文件损坏，集群网络瘫痪。,true,0.9500,6256,0,727
case_016,数据库,DIRECT,FEW_SHOT,OVN南向数据库损坏,节点磁盘被 VG-Manager 日志写满，导致 OVN 数据库文件损坏，集群网络瘫痪。,false,0.9200,1999,0,436
case_016,数据库,DIRECT,COT,OVN南向数据库文件损坏，导致OVN服务无法正常读取数据库，进而引发OpenShift集群网络功能降级。,节点磁盘被 VG-Manager 日志写满，导致 OVN 数据库文件损坏，集群网络瘫痪。,true,0.9000,6374,0,763
case_017,CPU,DIRECT,ZERO_SHOT,AWS EC2实例（t2/t3系列）CPU积分耗尽导致性能受限，进而引发HAProxy高CPU使用率和rsyslog磁盘I/O阻塞的连锁故障。,B2ts_v2 VM 因 CPU 积分耗尽导致性能受限，HAProxy 请求处理变慢，引发连接超时。,false,0.9500,5716,0,645
case_017,CPU,DIRECT,FEW_SHOT,CPU资源耗尽，可能由磁盘I/O阻塞导致,B2ts_v2 VM 因 CPU 积分耗尽导致性能受限，HAProxy 请求处理变慢，引发连接超时。,false,0.8500,2486,0,459
case_017,CPU,DIRECT,COT,CPU资源耗尽导致性能瓶颈，进而引发HAProxy高CPU使用率和rsyslog磁盘I/O阻塞,B2ts_v2 VM 因 CPU 积分耗尽导致性能受限，HAProxy 请求处理变慢，引发连接超时。,false,0.8500,4765,0,613
case_018,CPU,DIRECT,ZERO_SHOT,DNS解析循环导致CPU过载，触发核心转储（core dump），最终引发交换机CPU异常重启。,Cisco 交换机 DNS 解析死循环导致 CPU 占用过高，触发致命异常并反复重启。,true,0.8500,4758,0,577
case_018,CPU,DIRECT,FEW_SHOT,DNS解析循环导致CPU过载，触发核心转储和致命异常，最终导致交换机重启,Cisco 交换机 DNS 解析死循环导致 CPU 占用过高，触发致命异常并反复重启。,true,0.9200,2409,0,464
case_018,CPU,DIRECT,COT,DNS解析循环导致CPU过载，触发核心转储，最终引发交换机致命CPU异常重启,Cisco 交换机 DNS 解析死循环导致 CPU 占用过高，触发致命异常并反复重启。,true,0.8500,4828,0,582
case_019,配置,DIRECT,ZERO_SHOT,Apex One 日志发送配置文件中存在无效参数，导致配置解析失败，系统回退至仅本地日志记录模式。,Apex One 日志发送配置文件损坏或参数无效，导致数据上报失败，控制台显示异常。,true,0.9000,4150,0,554
case_019,配置,DIRECT,FEW_SHOT,日志发送配置解析失败，导致日志配置不匹配,Apex One 日志发送配置文件损坏或参数无效，导致数据上报失败，控制台显示异常。,false,0.8500,1568,0,401
case_019,配置,DIRECT,COT,日志发送配置文件（log sending config）中存在无效参数，导致Apex One无法解析配置，从而回退到仅本地日志记录模式。,Apex One 日志发送配置文件损坏或参数无效，导致数据上报失败，控制台显示异常。,true,0.9000,4801,0,634
case_020,配置,DIRECT,ZERO_SHOT,AKS自动节点镜像升级过程中，新节点尝试注册时与旧节点名称冲突，导致kubelet注册失败，并产生孤儿节点租约。,AKS 自动升级后，旧节点未正确注销，导致 etcd 中残留孤立租约 (orphaned leases)，引发注册冲突和性能问题。,false,0.9000,4380,0,586
case_020,配置,DIRECT,FEW_SHOT,AKS节点升级过程中节点名称冲突导致kubelet注册失败,AKS 自动升级后，旧节点未正确注销，导致 etcd 中残留孤立租约 (orphaned leases)，引发注册冲突和性能问题。,false,0.8500,1928,0,424
case_020,配置,DIRECT,COT,AKS自动节点镜像升级过程中，新节点尝试注册时使用了与旧节点相同的名称，导致kubelet注册失败，进而产生孤立节点租约。,AKS 自动升级后，旧节点未正确注销，导致 etcd 中残留孤立租约 (orphaned leases)，引发注册冲突和性能问题。,false,0.8500,5741,0,714
case_021,OOM,DIRECT,ZERO_SHOT,Windows更新KB5073722安装过程中触发了内存损坏，导致NTFS文件系统错误。,Windows 更新 KB5073722 安装期间 TiWorker.exe 发生内存泄漏，最终导致 NTFS 文件系统损坏。,true,0.8500,3928,0,527
case_021,OOM,DIRECT,FEW_SHOT,Windows更新KB5073722安装后触发内存损坏，导致NTFS文件系统错误,Windows 更新 KB5073722 安装期间 TiWorker.exe 发生内存泄漏，最终导致 NTFS 文件系统损坏。,true,0.8500,2202,0,466
case_021,OOM,DIRECT,COT,Windows更新KB5073722安装过程中触发了内存泄漏，进而导致NTFS文件系统损坏,Windows 更新 KB5073722 安装期间 TiWorker.exe 发生内存泄漏，最终导致 NTFS 文件系统损坏。,true,0.8500,5664,0,706
case_022,网络,DIRECT,ZERO_SHOT,DNS服务器故障或网络连接问题导致无法解析SNTP服务器域名time-pnp.cisco.com，进而引发SNTP服务异常。,Cisco 交换机因无法解析默认 NTP 服务器域名，触发 DNS 客户端缺陷，导致设备反复崩溃。,true,0.9000,4717,0,593
case_022,网络,DIRECT,FEW_SHOT,DNS解析失败导致NTP时间同步服务异常,Cisco 交换机因无法解析默认 NTP 服务器域名，触发 DNS 客户端缺陷，导致设备反复崩溃。,true,0.9200,2856,0,466
case_022,网络,DIRECT,COT,DNS服务器故障或网络连接问题导致无法解析NTP服务器域名,Cisco 交换机因无法解析默认 NTP 服务器域名，触发 DNS 客户端缺陷，导致设备反复崩溃。,true,0.9000,5307,0,665
case_023,磁盘,DIRECT,ZERO_SHOT,VG-Manager 日志文件无限制增长，导致磁盘空间被完全占满（100%），进而引发系统关键进程（如VG-Manager）因无法写入日志而挂起或等待锁释放。,"VG-Manager 在获取 LVM 锁失败后陷入死循环，以每秒 26,000 条的速度生成日志，迅速耗尽磁盘空间。",true,0.9500,4597,0,592
case_023,磁盘,DIRECT,FEW_SHOT,磁盘空间耗尽导致VG-Manager进程无法释放锁,"VG-Manager 在获取 LVM 锁失败后陷入死循环，以每秒 26,000 条的速度生成日志，迅速耗尽磁盘空间。",true,0.9500,2518,0,456
case_023,磁盘,DIRECT,COT,VG-Manager日志文件无限制增长，导致磁盘空间被完全占满（100%），进而引发系统级故障。,"VG-Manager 在获取 LVM 锁失败后陷入死循环，以每秒 26,000 条的速度生成日志，迅速耗尽磁盘空间。",true,0.9500,6436,0,784
case_024,HTTP,DIRECT,ZERO_SHOT,InfluxDB认证后端服务不可达，导致查询服务不可用，进而引发所有查询失败。,InfluxDB Cloud 因认证服务故障导致所有查询请求失败，返回 503 错误。,true,0.9000,4558,0,591
case_024,HTTP,DIRECT,FEW_SHOT,InfluxDB认证后端服务不可用导致查询服务全面故障,InfluxDB Cloud 因认证服务故障导致所有查询请求失败，返回 503 错误。,true,0.9200,2341,0,445
case_024,HTTP,DIRECT,COT,InfluxDB认证后端服务故障或网络中断，导致查询服务不可用,InfluxDB Cloud 因认证服务故障导致所有查询请求失败，返回 503 错误。,true,0.9000,4188,0,570
case_025,权限,DIRECT,ZERO_SHOT,系统内存不足，导致内核OOM Killer（内存溢出杀手）强制终止了vector服务进程。,Linux 内核因系统内存不足，调用 OOM Killer 强制终止了 vector 进程，释放内存。,true,0.9500,4630,0,672
case_025,权限,DIRECT,FEW_SHOT,系统内存不足导致OOM Killer杀死了vector进程,Linux 内核因系统内存不足，调用 OOM Killer 强制终止了 vector 进程，释放内存。,true,0.9500,2601,0,481
case_025,权限,DIRECT,COT,vector服务进程因系统内存不足被OOM Killer强制终止,Linux 内核因系统内存不足，调用 OOM Killer 强制终止了 vector 进程，释放内存。,true,0.9500,5543,0,721
